status	tables	rows	secs	out_mb	rel_path
OK	1	2369	1	0	2007ミスミ新規製作テータベース.fp7
OK	3	1534	0	0	2008新商品データベース.fp7
OK	0	0	0	0	@START.fp7
OK	33	301	0	0	@技術力_メイン(1).fp7
OK	2	50	0	0	@新見積試算プログラム.fp7
OK	4	692	1	0	@発注書.fp7
OK	1	27551	5	35	CKK検査表.fp7
OK	1	101	0	0	CS在庫管理システム.fp7
OK	1	1	0	0	CS集計システム.fp7
OK	0	0	0	0	FMServer_Sample_Config.fp7
OK	2	3	1	0	HP検査成績表ミスミ.fp7
OK	4	127281	21	13	LB060.fp7
OK	1	3613	1	0	NP4データ管理システム.fp7
OK	4	34089	7	21	T-value管理システム.fp7
OK	21	13093	2	0	TEST価格表200902.fp7
OK	2	3729	2	0	TEST在庫材料.fp7
OK	1	12184	3	0	THKコード.fp7
OK	1	393	0	0	TSP材料.fp7
OK	1	1972	0	0	TSP発注書.fp7
OK	1	948	1	0	TSP素材発注書1.fp7
OK	1	267	0	0	TSP見積書1.fp7
OK	4	91	0	0	UF在庫管理システム.fp7
OK	1	2	0	0	UF集計システム.fp7
OK	1	0	0	0	test.fp7
OK	20	12820	3	0	ずらし角度計算.fp7
OK	1	526	0	0	コーティング価格表.fp7
OK	1	14	0	0	センタレス日程管理.fp7
OK	1	7815	1	1	センタレス検査表.fp7
OK	1	1	0	0	ダイジェット製品加工データー.fp7
OK	1	1436	1	2	ミストラブル報告1.fp7
OK	1	3165	1	2	ミスミ型番形状.fp7
OK	2	179015	29	28	ミスミ販売管理システム.fp7
OK	3	1683	1	0	リブ在庫システム.fp7
OK	62	571	0	0	リブ在庫管理システム.fp7
OK	59	213	0	0	リブ在庫管理システム1.fp7
OK	1	1	0	0	リブ在庫集計画面.fp7
OK	1	2	0	0	リブ在庫集計画面1.fp7
OK	1	1	0	0	リブ母材集計.fp7
OK	3	46	0	0	不良画像データベース.fp7
OK	1	73	0	0	仕事データベース.fp7
OK	1	18717	4	12	他検査表(ｺﾋﾟｰ).fp7
OK	1	11965	2	2	仮伝発行システム.fp7
OK	1	3416	1	0	休日出勤予定システム.fp7
OK	1	1	0	0	修理経過書.fp7
OK	0	0	0	0	再研16.fp7
OK	23	101836	20	26	再研システム.fp7
OK	1	16	0	0	切削記録データベース.fp7
OK	1	5	0	0	切削記録データベース2.fp7
OK	1	0	0	0	加工依頼内容表.fp7
OK	2	28	0	0	加工条件管理.fp7
OK	1	7734	2	1	受注書確認システム.fp7
OK	13	83662	20	98	受注管理システム新2.fp7
OK	13	83826	21	98	受注管理システム新3.fp7
OK	1	126	0	0	品質報告書.fp7
OK	1	11	0	0	商品クレームデータベース.fp7
OK	1	13	0	0	図面数値資料.fp7
OK	3	444785	74	82	山口再研システム.fp7
OK	1	11043	2	2	山口注文システム.fp7
OK	4	118	0	0	山口生産管理スケジューラー.fp7
OK	4	575	0	0	山口製造課スケジューラー.fp7
OK	1	50	0	0	山形在庫管理システム.fp7
OK	1	1	0	0	山形集計システム.fp7
OK	4	128	0	0	役員スケジューラー.fp7
OK	4	5135	1	0	役員スケジューラー2.fp7
OK	1	115	0	0	得意先台帳(販売管理用).fp7
OK	1	107	0	0	得意先台帳.fp7
OK	1	104	0	0	得意先台帳1.fp7
OK	1	20	0	0	文書管理1.fp7
OK	1	4	0	0	新見積試算プログラム.fp7
OK	4	239	0	0	本社生産管理スケジューラー.fp7
OK	4	1942	1	0	本社経理スケジューラー1.fp7
OK	4	605	0	0	本社製造課スケジューラー.fp7
OK	1	653	0	0	材料.fp7
OK	21	13093	2	0	材料価格表200902.fp7
OK	2	1611	1	0	棚卸11.08.fp7
OK	1	28299	5	12	段加工検査記録表.fp7
OK	1	847	0	0	母材名検索システム.fp7
OK	1	999	0	0	沖縄発注書.fp7
OK	1	1	0	0	沖縄素材発注書.fp7
OK	2	111	0	0	沖縄見積書.fp7
OK	1	49	0	0	生産管理データベース.fp7
OK	1	32	0	0	発注リスト管理システム.fp7
OK	1	19721	3	7	発注書.fp7
OK	1	650	1	0	社内トピックス1.fp7
OK	2	19485	3	2	納品書システム.fp7
OK	1	1	0	0	素材発注書.fp7
OK	1	15465	3	8	素材発注書1.fp7
OK	7	209	0	0	終了分/HBS・R在庫管理システム.fp7
OK	1	1	0	0	終了分/HBS・R在庫集計画面.fp7
OK	1	1327	0	0	終了分/コピー ～ 棚卸08.08決算.fp7
OK	1	2963	1	2	終了分/ミスミ型番形状20101023.fp7
OK	1	356	0	0	終了分/原価なし材料テータベース.fp7
OK	82	607	0	0	終了分/定尺材在庫管理システム.fp7
OK	1	1	0	0	終了分/定尺材在庫集計画面.fp7
OK	1	1558	0	0	終了分/棚卸08.02.fp7
OK	1	1565	0	0	終了分/棚卸08.03.fp7
OK	1	2163	1	0	終了分/棚卸08.05.fp7
OK	1	2104	0	0	終了分/棚卸08.06.fp7
OK	1	2173	1	0	終了分/棚卸08.07.fp7
OK	1	1327	0	0	終了分/棚卸08.08決算.fp7
OK	1	1282	0	0	終了分/棚卸08.09.fp7
OK	1	1446	1	0	終了分/棚卸08.10.fp7
OK	1	1176	0	0	終了分/棚卸08.11.fp7
OK	1	1016	0	0	終了分/棚卸08.12.fp7
OK	1	837	0	0	終了分/棚卸09.01.fp7
OK	1	597	1	0	終了分/棚卸09.02.fp7
OK	1	606	0	0	終了分/棚卸09.03.fp7
OK	1	776	0	0	終了分/棚卸09.04.fp7
OK	1	790	0	0	終了分/棚卸09.05.fp7
OK	1	830	0	0	終了分/棚卸09.06.fp7
OK	1	880	0	0	終了分/棚卸09.07.fp7
OK	1	964	1	0	終了分/棚卸09.08決算.fp7
OK	1	1334	0	0	終了分/棚卸09.09.fp7
OK	1	1143	0	0	終了分/棚卸09.10.fp7
OK	1	942	0	0	終了分/棚卸09.11.fp7
OK	1	1134	1	0	終了分/棚卸09.12.fp7
OK	1	1123	0	0	終了分/棚卸10.01.fp7
OK	1	1253	0	0	終了分/棚卸10.02.fp7
OK	1	1114	1	0	終了分/棚卸10.03.fp7
OK	1	1387	0	0	終了分/棚卸10.04.fp7
OK	1	1106	0	0	終了分/棚卸10.05.fp7
OK	1	1301	0	0	終了分/棚卸10.06.fp7
OK	1	1210	1	0	終了分/棚卸10.07.fp7
OK	1	1140	0	0	終了分/棚卸10.08決算.fp7
OK	1	1349	0	0	終了分/棚卸10.09.fp7
OK	1	6	0	0	製品サンプル管理.fp7
OK	1	55	0	0	製品画像データベース.fp7
OK	1	2	0	0	請求システム.fp7
OK	1	70	0	0	議事録１.fp7
OK	1	2	0	0	販売管理システム.fp7
OK	2	20070	3	6	赤伝請求システム.fp7
OK	1	68	0	0	週間行動予定表.fp7
OK	1	818	0	0	閉じた分/役員資料1.fp7
OK	1	1213	1	0	閉じた分/棚卸10.10.fp7
OK	1	1148	0	0	閉じた分/棚卸10.11.fp7
OK	1	1361	0	0	閉じた分/棚卸10.12.fp7
OK	1	1634	1	0	閉じた分/棚卸11.01.fp7
OK	1	1742	0	0	閉じた分/棚卸11.02.fp7
OK	1	1248	0	0	閉じた分/棚卸11.03.fp7
OK	1	1016	1	0	閉じた分/棚卸11.04.fp7
OK	1	882	0	0	閉じた分/棚卸11.05.fp7
OK	1	1285	0	0	閉じた分/棚卸11.06.fp7
OK	1	1063	0	0	閉じた分/棚卸11.07.fp7
OK	1	9	1	0	新規品データ.fp7
OK	1	0	1	0	ミスミ帳票関係.fp7
OK	1	52378	12	14	入力照合システム.fp7
OK	1	16223	5	8	見積書1.fp7
OK	1	818	1	2	閉じた分/受注管理システム新21.fp7
PARTIAL	6	395484	0	996	受注管理システム新1.fp7
PARTIAL	6	131633	0	191	X受注管理システム新1.fp7
